onset	duration	trial_type	response_value	stim_file
2.766	116.378	video	n/a	task-alignvideo/ses-02_run-03_order-01_content-unefille.mp4
123.712	n/a	rating_relevance	n/a	n/a
128.747	n/a	rating_happy	n/a	n/a
133.783	n/a	rating_sad	n/a	n/a
136.017	1.717	rating_afraid	0.0	n/a
142.686	3.366	rating_disgusted	72.4	n/a
147.321	2.969	rating_warm	0.0	n/a
153.69	4.321	rating_engaged	66.88	n/a
154.405	179.338	video	n/a	task-alignvideo/ses-02_run-03_order-02_content-captureflag.mp4
335.191	1.389	rating_relevance	0.0	n/a
342.494	3.683	rating_happy	2.81	n/a
345.528	1.7	rating_sad	0.0	n/a
350.197	1.35	rating_afraid	0.0	n/a
357.816	3.951	rating_disgusted	35.52	n/a
360.55	1.666	rating_warm	0.0	n/a
367.786	3.884	rating_engaged	35.62	n/a
368.935	26.879	video	n/a	task-alignvideo/ses-02_run-03_order-03_content-tornado.mp4
399.165	3.297	rating_relevance	15.73	n/a
402.266	1.383	rating_happy	0.0	n/a
410.302	4.402	rating_sad	19.9	n/a
412.92	2.0	rating_afraid	55.42	n/a
417.838	1.905	rating_disgusted	0.0	n/a
422.24	1.286	rating_warm	0.0	n/a
429.393	3.415	rating_engaged	45.21	n/a
431.008	62.852	video	n/a	task-alignvideo/ses-02_run-03_order-04_content-war.mp4
498.052	4.135	rating_relevance	1.15	n/a
500.253	1.321	rating_happy	0.0	n/a
506.605	2.655	rating_sad	29.17	n/a
511.523	2.553	rating_afraid	35.21	n/a
516.459	2.465	rating_disgusted	47.5	n/a
520.21	1.2	rating_warm	0.0	n/a
526.612	2.584	rating_engaged	23.85	n/a
