onset	duration	run_type	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	pain_onset_ttl1	pain_onset_ttl2	pain_onset_ttl3	pain_onset_ttl4	pain_stimulus_delivery_success	cognitive_correct_response	cognitive_participant_response	cognitive_response_accuracy
5.0	1.0	pain	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l044.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.62	2.65	pain	expectrating	1	low_cue	n/a	41.25	Strong	41.25	Strong	0.18	2.47	task-social/cue/runtype-pain/scl/l044.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.84	12.82	pain	stimulus	1	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	16.84	20.85	25.85	29.66	success	n/a	n/a	n/a
28.81	1.82	pain	outcomerating	1	low_cue	high_stim	59.76	Strong	59.76	Strong	0.18	2.47	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
37.39	1.0	pain	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h047.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
39.7	1.48	pain	expectrating	2	high_cue	n/a	53.37	Strong	53.37	Strong	0.37	1.11	task-social/cue/runtype-pain/sch/h047.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.01	12.36	pain	stimulus	2	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	50.01	53.77	58.77	62.38	success	n/a	n/a	n/a
65.51	2.07	pain	outcomerating	2	high_cue	med_stim	59.0	Strong	59.0	Strong	0.37	1.11	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
70.69	1.0	pain	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/scl/l055.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
72.99	1.48	pain	expectrating	3	low_cue	n/a	41.1	Strong	41.1	Strong	0.37	1.12	task-social/cue/runtype-pain/scl/l055.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
77.92	11.899999999999991	pain	stimulus	3	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	77.92	81.42	86.42	89.82	success	n/a	n/a	n/a
88.3	2.67	pain	outcomerating	3	low_cue	low_stim	45.49	Strong	45.49	Strong	0.37	1.12	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
100.2	1.0	pain	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	task-social/cue/runtype-pain/sch/h033.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
102.8	1.35	pain	expectrating	4	high_cue	n/a	68.88	Very Strong	68.88	Very Strong	0.32	1.04	task-social/cue/runtype-pain/sch/h033.png	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
108.25	11.900000000000006	pain	stimulus	4	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	n/a	108.25	111.75	116.75	120.15	success	n/a	n/a	n/a
123.69	1.83	pain	outcomerating	4	high_cue	low_stim	43.78	Strong	43.78	Strong	0.32	1.04	task-social/outcomerating/task-pain_scale.png	n/a	n/a	n/a	n/a	success	n/a	n/a	n/a
