onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file
7.817	12.653	narrative_presentation	n/a	n/a	Enmity-of-kin	prison	Audio	task-narratives/Narrative5Situation1.mp3
20.47	2.983	rating_feeling	770	471	Enmity-of-kin	prison	Audio	n/a
21.303	2.15	feeling_mouse_trajectory	770	471	Enmity-of-kin	prison	Audio	n/a
24.511	1.8	rating_expectation	715	546	Enmity-of-kin	prison	Audio	n/a
25.345	0.967	expectation_mouse_trajectory	715	546	Enmity-of-kin	prison	Audio	n/a
31.579	28.106	narrative_presentation	n/a	n/a	All-sacrificed-for-passion	prison	Audio	task-narratives/Narrative5Situation2.mp3
59.685	2.533	rating_feeling	889	508	All-sacrificed-for-passion	prison	Audio	n/a
60.052	2.167	feeling_mouse_trajectory	889	508	All-sacrificed-for-passion	prison	Audio	n/a
63.71	3.567	rating_expectation	738	463	All-sacrificed-for-passion	prison	Audio	n/a
64.793	2.483	expectation_mouse_trajectory	738	463	All-sacrificed-for-passion	prison	Audio	n/a
70.78	13.308	narrative_presentation	n/a	n/a	Discovery-of-dishonour-of-loved-one	prison	Audio	task-narratives/Narrative5Situation3.mp3
84.087	0.883	rating_feeling	839	567	Discovery-of-dishonour-of-loved-one	prison	Audio	n/a
84.571	0.4	feeling_mouse_trajectory	839	567	Discovery-of-dishonour-of-loved-one	prison	Audio	n/a
88.115	2.75	rating_expectation	824	536	Discovery-of-dishonour-of-loved-one	prison	Audio	n/a
88.882	1.983	expectation_mouse_trajectory	824	536	Discovery-of-dishonour-of-loved-one	prison	Audio	n/a
93.186	20.148	narrative_presentation	n/a	n/a	Crimes-of-love	park	Audio	task-narratives/Narrative5Situation4.mp3
113.334	3.85	rating_feeling	854	511	Crimes-of-love	park	Audio	n/a
113.917	3.267	feeling_mouse_trajectory	854	511	Crimes-of-love	park	Audio	n/a
117.36	2.367	rating_expectation	822	433	Crimes-of-love	park	Audio	n/a
118.46	1.267	expectation_mouse_trajectory	822	433	Crimes-of-love	park	Audio	n/a
126.414	14.112	narrative_presentation	n/a	n/a	Necessity-of-sacrificing-loved-ones	park	Audio	task-narratives/Narrative5Situation5.mp3
140.526	1.85	rating_feeling	645	421	Necessity-of-sacrificing-loved-ones	park	Audio	n/a
140.86	1.517	feeling_mouse_trajectory	645	421	Necessity-of-sacrificing-loved-ones	park	Audio	n/a
144.56	1.917	rating_expectation	649	349	Necessity-of-sacrificing-loved-ones	park	Audio	n/a
145.06	1.417	expectation_mouse_trajectory	649	349	Necessity-of-sacrificing-loved-ones	park	Audio	n/a
151.641	5.479	narrative_presentation	n/a	n/a	Adultery	park	Audio	task-narratives/Narrative5Situation6.mp3
157.12	3.867	rating_feeling	1008	479	Adultery	park	Audio	n/a
158.17	2.817	feeling_mouse_trajectory	1008	479	Adultery	park	Audio	n/a
161.143	2.4	rating_expectation	819	534	Adultery	park	Audio	n/a
161.676	1.867	expectation_mouse_trajectory	819	534	Adultery	park	Audio	n/a
169.197	20.815	narrative_presentation	n/a	n/a	Revolt	beach	Audio	task-narratives/Narrative5Situation7.mp3
190.012	1.15	rating_feeling	795	534	Revolt	beach	Audio	n/a
190.429	0.733	feeling_mouse_trajectory	795	534	Revolt	beach	Audio	n/a
194.043	1.983	rating_expectation	769	494	Revolt	beach	Audio	n/a
