onset	duration	trial_type	response_value	stim_file
2.783	211.363	video	n/a	task-alignvideo/ses-03_run-01_order-01_content-mountainbike.mp4
218.731	n/a	rating_relevance	n/a	n/a
223.766	n/a	rating_happy	n/a	n/a
228.801	n/a	rating_sad	n/a	n/a
233.837	n/a	rating_afraid	n/a	n/a
238.872	n/a	rating_disgusted	n/a	n/a
243.907	n/a	rating_warm	n/a	n/a
248.942	n/a	rating_engaged	n/a	n/a
249.546	20.938	video	n/a	task-alignvideo/ses-03_run-01_order-02_content-carflood.mp4
275.035	n/a	rating_relevance	n/a	n/a
280.07	n/a	rating_happy	n/a	n/a
285.106	n/a	rating_sad	n/a	n/a
290.124	n/a	rating_afraid	n/a	n/a
295.159	n/a	rating_disgusted	n/a	n/a
300.195	n/a	rating_warm	n/a	n/a
305.23	n/a	rating_engaged	n/a	n/a
305.779	30.15	video	n/a	task-alignvideo/ses-03_run-01_order-03_content-fireplace.mp4
340.476	n/a	rating_relevance	n/a	n/a
345.512	n/a	rating_happy	n/a	n/a
350.547	n/a	rating_sad	n/a	n/a
355.582	n/a	rating_afraid	n/a	n/a
360.601	n/a	rating_disgusted	n/a	n/a
365.619	n/a	rating_warm	n/a	n/a
370.654	n/a	rating_engaged	n/a	n/a
371.21	123.291	video	n/a	task-alignvideo/ses-03_run-01_order-04_content-snakes.mp4
499.052	n/a	rating_relevance	n/a	n/a
504.087	n/a	rating_happy	n/a	n/a
509.123	n/a	rating_sad	n/a	n/a
514.141	n/a	rating_afraid	n/a	n/a
519.176	n/a	rating_disgusted	n/a	n/a
524.212	n/a	rating_warm	n/a	n/a
529.247	n/a	rating_engaged	n/a	n/a
