onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
5.026	0.922	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg
6.26	1.405	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg
7.977	1.755	tomspunt	reaching?	how_hand	no	yes	incorrect	task-tomspunt/H_474.jpg
10.011	1.403	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg
11.729	1.089	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg
13.129	1.003	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg
14.446	1.019	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg
15.78	0.969	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg
22.549	0.969	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg
23.833	1.114	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg
25.25	1.07	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg
26.634	1.236	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg
28.185	1.086	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg
29.585	1.112	tomspunt	healthy?	why_hand	yes	no	incorrect	task-tomspunt/H_007.jpg
31.003	1.111	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg
32.42	0.978	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_019.jpg
41.657	0.669	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg
42.64	0.941	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg
43.891	0.907	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg
45.108	0.874	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg
46.292	1.056	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg
47.659	0.972	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg
48.943	1.005	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg
50.26	0.988	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg
60.63	0.936	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg
61.881	0.8	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg
62.981	0.869	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg
64.165	0.018	tomspunt	smiling?	how_face	yes	no	incorrect	task-tomspunt/F_758.jpg
64.498	0.852	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg
65.666	0.869	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg
66.849	0.748	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg
67.9	0.786	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg
78.154	0.969	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg
79.437	0.944	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg
80.688	1.176	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_189.jpg
82.172	0.993	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg
83.472	1.092	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg
84.873	0.853	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg
86.04	0.908	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg
87.257	0.907	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg
