onset	duration	subtask_type	event_type	value	response_accuracy	stim_file
12.0724544429779	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/4b_story.txt
100.605854501724	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/1b_story.txt
159.611443986893	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/6b_story.txt
218.633700838089	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/3b_story.txt
248.144830694199	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/8b_story.txt
336.678211679459	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/7b_story.txt
395.700462331772	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/10b_story.txt
425.211588134766	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/9b_story.txt
513.744958629608	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/5b_story.txt
572.767205228806	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/2b_story.txt
41.583588590622	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/4p_story.txt
71.0780484580994	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/1p_story.txt
130.100312461853	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/6p_story.txt
189.122572174072	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/3p_story.txt
277.655957689285	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/8p_story.txt
307.167083969116	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/7p_story.txt
366.189337005615	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/10p_story.txt
454.739385118485	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/9p_story.txt
484.233835449219	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/5p_story.txt
543.256083240509	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/2p_story.txt
23.0432610416412	3.95050883293152	tomsaxe	response	falsebelief	correct	tomsaxe/4b_question.txt
111.576658716202		tomsaxe	response	falsebelief	incorrect	tomsaxe/1b_question.txt
170.598921051025	4.31289982795715	tomsaxe	response	falsebelief	correct	tomsaxe/6b_question.txt
229.621178379059	2.83778357505798	tomsaxe	response	falsebelief	correct	tomsaxe/3b_question.txt
259.13230632782	3.58568859100342	tomsaxe	response	falsebelief	correct	tomsaxe/8b_question.txt
347.665687074661	4.45188403129578	tomsaxe	response	falsebelief	correct	tomsaxe/7b_question.txt
406.687937488556		tomsaxe	response	falsebelief	incorrect	tomsaxe/10b_question.txt
436.199063053131	4.57246994972229	tomsaxe	response	falsebelief	correct	tomsaxe/9b_question.txt
524.732434740067	4.88198518753052	tomsaxe	response	falsebelief	correct	tomsaxe/5b_question.txt
583.754680862427	3.78245615959167	tomsaxe	response	falsebelief	correct	tomsaxe/2b_question.txt
52.5543944740295		tomsaxe	response	falsephoto	incorrect	tomsaxe/4p_question.txt
82.0655262374878	4.11136674880981	tomsaxe	response	falsephoto	incorrect	tomsaxe/1p_question.txt
141.087789525986	4.30878353118896	tomsaxe	response	falsephoto	correct	tomsaxe/6p_question.txt
200.110048999786	2.75299596786499	tomsaxe	response	falsephoto	correct	tomsaxe/3p_question.txt
288.643433799744	2.56747508049011	tomsaxe	response	falsephoto	correct	tomsaxe/8p_question.txt
318.154560556412	3.32252335548401	tomsaxe	response	falsephoto	correct	tomsaxe/7p_question.txt
377.176812639236	5.00753831863403	tomsaxe	response	falsephoto	correct	tomsaxe/10p_question.txt
465.710185756683		tomsaxe	response	falsephoto	incorrect	tomsaxe/9p_question.txt
495.22131108284	2.32525491714478	tomsaxe	response	falsephoto	correct	tomsaxe/5p_question.txt
554.243557920456	4.71534109115601	tomsaxe	response	falsephoto	correct	tomsaxe/2p_question.txt
