onset	duration	trial_type	response_value	stim_file
2.784	26.767	video	n/a	task-alignvideo/ses-02_run-01_order-01_content-knifegame.mp4
31.201	1.582	rating_relevance	0.0	n/a
35.453	0.815	rating_happy	0.0	n/a
40.121	0.465	rating_sad	0.0	n/a
47.624	2.95	rating_afraid	48.85	n/a
51.609	1.909	rating_disgusted	12.08	n/a
55.177	0.466	rating_warm	0.0	n/a
61.329	1.6	rating_engaged	27.29	n/a
64.897	71.494	video	n/a	task-alignvideo/ses-02_run-01_order-02_content-freesolo.mp4
138.958	2.531	rating_relevance	27.6	n/a
143.226	1.783	rating_happy	23.12	n/a
146.961	0.499	rating_sad	0.0	n/a
151.88	0.399	rating_afraid	0.0	n/a
156.848	0.35	rating_disgusted	0.0	n/a
161.95	0.438	rating_warm	0.0	n/a
168.002	1.47	rating_engaged	40.52	n/a
171.591	111.12	video	n/a	task-alignvideo/ses-02_run-01_order-03_content-youth.mp4
285.146	2.399	rating_relevance	34.06	n/a
290.181	2.416	rating_happy	58.85	n/a
293.983	1.206	rating_sad	11.98	n/a
298.251	0.454	rating_afraid	0.0	n/a
303.319	0.501	rating_disgusted	0.0	n/a
310.372	2.532	rating_warm	37.5	n/a
314.94	2.083	rating_engaged	31.25	n/a
317.902	30.57	video	n/a	task-alignvideo/ses-02_run-01_order-04_content-deer.mp4
351.037	2.533	rating_relevance	19.27	n/a
356.406	2.883	rating_happy	29.06	n/a
359.007	0.466	rating_sad	0.0	n/a
365.443	1.883	rating_afraid	14.48	n/a
369.961	1.383	rating_disgusted	0.0	n/a
376.73	3.133	rating_warm	15.0	n/a
380.481	1.866	rating_engaged	16.98	n/a
